School Year,District Code,District Type,District,School Code,School Type,Organization,Lowest Grade Served,Highest Grade Served,Street1,Street2,City,State,Zip,County,Geocoded Location
2015,13,Regular,Capital School District,0,Not Applicable,Capital School District,PK,12,198 Commerce Way,,Dover,DE,199043498,Kent,POINT (-75.550289 39.151133)
2015,13,Regular,Capital School District,632,PUBLIC,East Dover Elementary School,PR,04,852 South Little Creek Road,,Dover,DE,199014797,Kent,POINT (-75.503842 39.157116)
2015,13,Regular,Capital School District,634,PUBLIC,South Dover Elementary School,PR,04,955 South State Street,,Dover,DE,199014177,Kent,POINT (-75.522429 39.148511)
2015,13,Regular,Capital School District,635,PUBLIC,North Dover Elementary School,KG,04,855 College Road,,Dover,DE,199042234,Kent,
2015,13,Regular,Capital School District,636,PUBLIC,Booker T. Washington Elementary School,PR,04,901 Forest Street,,Dover,DE,199043497,Kent,POINT (-75.540385 39.15901)
2015,13,Regular,Capital School District,638,PUBLIC,Fairview Elementary School,PK,04,700 Walker Road,,Dover,DE,199042792,Kent,POINT (-75.538645 39.171171)
2015,13,Regular,Capital School District,640,PUBLIC,Hartly Elementary School,PK,04,PO Box 25,2617 Arthursville Road,Hartly,DE,199530025,Kent,
2015,13,Regular,Capital School District,642,PUBLIC,Towne Point Elementary School,KG,04,629 Buckson Drive,,Dover,DE,199012599,Kent,POINT (-75.521163 39.176529)
2015,13,Regular,Capital School District,644,PUBLIC,Central Middle School,07,08,211 Delaware Avenue,,Dover,DE,19901,Kent,POINT (-75.521796 39.163887)
2015,13,Regular,Capital School District,646,PUBLIC,William Henry Middle School,05,06,Carver Road,,Dover,DE,199042716,Kent,
2015,13,Regular,Capital School District,648,PUBLIC,Dover High School,09,12,One Dover High Drive,,Dover,DE,19904,Kent,
2015,13,Regular,Capital School District,649,PUBLIC,Capital Intensive Learning Center,KG,12,198 Commerce Way,,Dover,DE,19904,Kent,POINT (-75.550289 39.151133)
2015,13,Regular,Capital School District,650,PUBLIC,Kent County Community School,PK,12,Carver Road,,Dover,DE,199042716,Kent,
2015,13,Regular,Capital School District,655,PUBLIC,Kent County Secondary ILC,06,12,631 Ridgely Street,Suite 19,Dover,DE,19904,Kent,POINT (-75.53709 39.16319)
2015,15,Regular,Lake Forest School District,0,Not Applicable,Lake Forest School District,PK,12,5423 Killens Pond Road,,Felton,DE,199439801,Kent,POINT (-75.554039 38.988941)
2015,15,Regular,Lake Forest School District,658,PUBLIC,Lake Forest East Elementary School,KG,04,124 West Front Street,,Frederica,DE,199469703,Kent,POINT (-75.473261 39.007606)
2015,15,Regular,Lake Forest School District,659,PUBLIC,Lake Forest ILC,06,12,5423 Killens Pond Road,,Felton,DE,19943,Kent,POINT (-75.554039 38.988941)
2015,15,Regular,Lake Forest School District,660,PUBLIC,Lake Forest North Elementary School,PK,04,319 East Main Street,,Felton,DE,199430296,Kent,POINT (-75.570347 39.007059)
2015,15,Regular,Lake Forest School District,662,PUBLIC,Lake Forest South Elementary School,KG,04,301 Dorman Street,,Harrington,DE,199521099,Kent,POINT (-75.581711 38.929801)
2015,15,Regular,Lake Forest School District,663,PUBLIC,Delaware Early Childhood Center,PR,PR,100 West Mispillion Street,,Harrington,DE,199521099,Kent,POINT (-75.582943 38.922336)
2015,15,Regular,Lake Forest School District,664,PUBLIC,Chipman (W.T.) Middle School,06,08,101 West Center Street,,Harrington,DE,199521098,Kent,POINT (-75.581466 38.928074)
2015,15,Regular,Lake Forest School District,665,PUBLIC,Lake Forest High School,08,12,5407 Killen's Pond Rd.,,Felton,DE,19943,Kent,POINT (-75.551985 38.989322)
2015,15,Regular,Lake Forest School District,669,PUBLIC,Lake Forest Central Elementary School,04,05,5424 Killens Pond Road,,Felton,DE,19943,Kent,POINT (-75.552158 38.989296)
2015,16,Regular,Laurel School District,0,Not Applicable,Laurel School District,PK,12,1160 South Central Avenue,,Laurel,DE,199561413,Sussex,POINT (-75.569482 38.542518)
2015,16,Regular,Laurel School District,752,PUBLIC,North Laurel Elementary School,02,04,300 Wilson Street,,Laurel,DE,199561626,Sussex,POINT (-75.570367 38.566507)
2015,16,Regular,Laurel School District,753,PUBLIC,Dunbar (Paul Laurence) Elementary School,PK,01,499 West Sixth Street,,Laurel,DE,199561363,Sussex,POINT (-75.581982 38.557111)
2015,16,Regular,Laurel School District,756,PUBLIC,Laurel Senior High School,09,12,1133 South Central Avenue,,Laurel,DE,199561491,Sussex,POINT (-75.569431 38.545956)
2015,16,Regular,Laurel School District,765,PUBLIC,Western Sussex Academy,08,12,815 Central Avenue,,Laurel,DE,19956,Sussex,POINT (-75.569854 38.55111800000001)
2015,16,Regular,Laurel School District,781,PUBLIC,Laurel Intensive Learning Centers,09,12,1133 S Central Avenue,,Laurel,DE,19956,Sussex,POINT (-75.569431 38.545956)
2015,16,Regular,Laurel School District,782,PUBLIC,Laurel Intermediate Middle School,05,08,801 South Central Avenue,,Laurel,DE,199561498,Sussex,POINT (-75.5702 38.552507000000006)
2015,17,Regular,Cape Henlopen School District,0,Not Applicable,Cape Henlopen School District,PK,12,1270 Kings Highway,,Lewes,DE,199581798,Sussex,POINT (-75.148979 38.754341)
2015,17,Regular,Cape Henlopen School District,559,PUBLIC,Career Opportunities,09,12,1270 Kings Highway,,Lewes,DE,19958,Sussex,POINT (-75.148979 38.754341)
2015,17,Regular,Cape Henlopen School District,710,PUBLIC,H. O. Brittingham Elementary School,PK,05,400 Mulberry Street,,Milton,DE,199681628,Sussex,POINT (-75.315392 38.781549)
2015,17,Regular,Cape Henlopen School District,712,PUBLIC,Shields (Richard A.) Elementary School,PR,05,910 Shields Avenue,,Lewes,DE,199581597,Sussex,POINT (-75.14724 38.767868)
2015,17,Regular,Cape Henlopen School District,720,PUBLIC,Mariner Middle School,05,08,16391 Harbeson Rd.,,Milton,DE,19968,Sussex,POINT (-75.313328 38.762677)
2015,17,Regular,Cape Henlopen School District,721,PUBLIC,Milton Elementary School,PK,05,512 Federal Street,,Milton,DE,19968,Sussex,POINT (-75.31437 38.771463)
2015,17,Regular,Cape Henlopen School District,722,PUBLIC,Rehoboth Elementary School,PK,06,500 Stockley Street,,Rehoboth Beach,DE,199711899,Sussex,POINT (-75.08778 38.709998)
2015,17,Regular,Cape Henlopen School District,724,PUBLIC,Beacon Middle School,04,08,19483 John J. Williams Highway,,Lewes,DE,19958,Sussex,POINT (-75.150958 38.71504)
2015,17,Regular,Cape Henlopen School District,726,PUBLIC,Cape Henlopen High School,08,12,1250 Kings Highway,,Lewes,DE,19958,Sussex,POINT (-75.147192 38.75787)
2015,17,Regular,Cape Henlopen School District,728,PUBLIC,Sussex Consortium,PK,12,520 duPont Avenue,,Lewes,DE,199581239,Sussex,POINT (-75.14764 38.772817)
2015,18,Regular,Milford School District,0,Not Applicable,Milford School District,PK,12,906 Lakeview Avenue,,Milford,DE,199631799,Kent,POINT (-75.439076 38.902471)
2015,18,Regular,Milford School District,668,PUBLIC,Banneker (Benjamin) Elementary School,01,05,449 North Street,,Milford,DE,199631199,Kent,POINT (-75.432246 38.919526)
2015,18,Regular,Milford School District,670,PUBLIC,Morris (Evelyn I.) Early Childhood,PR,01,8609 Third Street,,Lincoln,DE,199609998,Kent,POINT (-75.418982 38.869552)
2015,18,Regular,Milford School District,672,PUBLIC,Ross (Lulu M.) Elementary School,02,05,310 Lovers Lane,,Milford,DE,199632699,Kent,POINT (-75.41705500000002 38.906071)
2015,18,Regular,Milford School District,673,PUBLIC,Mispillion Elementary,01,05,311 Lovers Lane,,Milford,DE,199632699,Kent,POINT (-75.417019 38.906194)
2015,18,Regular,Milford School District,675,PUBLIC,Milford Central Academy,06,08,1021 N Walnut Street,,Milford,DE,199631298,Kent,POINT (-75.429405 38.929843)
2015,18,Regular,Milford School District,678,PUBLIC,Milford Senior High School,08,12,1019 North Walnut Street,,Milford,DE,19963,Kent,POINT (-75.429393 38.929757)
2015,23,Regular,Seaford School District,0,Not Applicable,Seaford School District,PK,12,390 North Market Street Extend,,Seaford,DE,199732612,Sussex,POINT (-75.61483600000001 38.652236)
2015,23,Regular,Seaford School District,759,PUBLIC,Seaford Central Elementary School,PK,05,1 Delaware Place,,Seaford,DE,199731434,Sussex,POINT (-75.616261 38.650668)
2015,23,Regular,Seaford School District,760,PUBLIC,West Seaford Elementary School,KG,05,511 Sussex Avenue,,Seaford,DE,199732041,Sussex,POINT (-75.632577 38.643511)
2015,23,Regular,Seaford School District,761,PUBLIC,Blades Elementary School,KG,05,900 South Arch Street,,Blades,DE,199734553,Sussex,POINT (-75.606982 38.630855)
2015,23,Regular,Seaford School District,762,PUBLIC,Frederick Douglass Elementary School,PK,05,1 Swain Road,,Seaford,DE,199732827,Sussex,POINT (-75.604797 38.644927)
2015,23,Regular,Seaford School District,764,PUBLIC,Seaford Middle School,05,08,500 E Stein Hwy,,Seaford,DE,19973,Sussex,POINT (-75.611515 38.647746)
2015,23,Regular,Seaford School District,766,PUBLIC,Seaford Senior High School,09,12,399 North Market Street,,Seaford,DE,199732611,Sussex,POINT (-75.61266600000002 38.646541)
2015,23,Regular,Seaford School District,768,PUBLIC,Sussex Orthopedic Program,PK,12,One Delaware Place,,Seaford,DE,199731528,Sussex,
2015,24,Regular,Smyrna School District,0,Not Applicable,Smyrna School District,PK,12,82 Monrovia Avenue,,Smyrna,DE,19977,Kent,POINT (-75.601698 39.300472)
2015,24,Regular,Smyrna School District,680,PUBLIC,Clayton Elementary School,KG,04,510 West Main Street,,Clayton,DE,199383400,Kent,POINT (-75.638376 39.288862)
2015,24,Regular,Smyrna School District,681,PUBLIC,Sunnyside Elementary School,KG,04,123  Rabbit Chase Road,,Smyrna,DE,19977,Kent,POINT (-75.612522 39.272426)
2015,24,Regular,Smyrna School District,682,PUBLIC,Smyrna Elementary School,KG,04,121 South School Lane,,Smyrna,DE,199771399,Kent,POINT (-75.607611 39.296133)
2015,24,Regular,Smyrna School District,684,PUBLIC,North Smyrna Elementary School,PR,06,365 North Main Street,,Smyrna,DE,199771092,Kent,POINT (-75.612411 39.304932)
2015,24,Regular,Smyrna School District,685,PUBLIC,Smyrna Middle School,06,08,700 Duck Creek Parkway,,Smyrna,DE,199771091,Kent,POINT (-75.625335 39.303255)
2015,24,Regular,Smyrna School District,686,PUBLIC,Moore (John Bassett) School,05,06,20 West Frazier Street,,Smyrna,DE,199771497,Kent,POINT (-75.60456 39.298095)
2015,24,Regular,Smyrna School District,688,PUBLIC,Smyrna High School,09,12,500 Duck Creek Parkway,,Smyrna,DE,19977,Kent,POINT (-75.628664 39.300747)
2015,24,Regular,Smyrna School District,696,PUBLIC,Clayton Intermediate School,05,06,86 Sorrento Drive,,Clayton,DE,19938,Kent,POINT (-75.645461 39.272413)
2015,29,Regular,Appoquinimink School District,0,Not Applicable,Appoquinimink School District,PK,12,Tony Marchio Building,313 South Fifth Street,Odessa,DE,197304010,New Castle,
2015,29,Regular,Appoquinimink School District,10,PUBLIC,Silver Lake Elementary School,KG,05,200 East Cochran Street,,Middletown,DE,197091496,New Castle,POINT (-75.711045 39.447971)
2015,29,Regular,Appoquinimink School District,11,PUBLIC,Cedar Lane Elementary School,01,05,1259 Cedar Lane Road,,Middletown,DE,197099636,New Castle,POINT (-75.685536 39.501608)
2015,29,Regular,Appoquinimink School District,13,PUBLIC,Appoquinimink PreSchool Center,PR,PK,502 South Broad Street,,Middletown,DE,197091196,New Castle,POINT (-75.715383 39.444471)
2015,29,Regular,Appoquinimink School District,14,PUBLIC,Townsend Elementary School,01,05,PO Box 369,126 Main Street,Townsend,DE,197340369,New Castle,
2015,29,Regular,Appoquinimink School District,16,PUBLIC,Redding (Louis L.) Middle School,06,08,201 New Street,,Middletown,DE,197091140,New Castle,POINT (-75.708395 39.453013)
2015,29,Regular,Appoquinimink School District,17,PUBLIC,Meredith (Everett) Middle School,06,08,504 S. Broad Street,,Middletown,DE,19709,New Castle,POINT (-75.715025 39.443084)
2015,29,Regular,Appoquinimink School District,18,PUBLIC,Middletown High School,08,12,120 Silver Lake Road,,Middletown,DE,19709,New Castle,POINT (-75.696015 39.448071)
2015,29,Regular,Appoquinimink School District,20,PUBLIC,Loss (Olive B.) Elementary School,01,05,200 Brennan Boulevard,,Bear,DE,19701,New Castle,POINT (-75.742184 39.559691)
2015,29,Regular,Appoquinimink School District,21,PUBLIC,Brick Mill Elementary School,01,05,378 Brick Mill Road,,Middletown,DE,19709,New Castle,POINT (-75.687795 39.458673)
2015,29,Regular,Appoquinimink School District,22,PUBLIC,Cedar Lane Early Childhood Center,PK,KG,1221 Cedar Lane Road,,Middletown,DE,19709,New Castle,POINT (-75.685075 39.502618)
2015,29,Regular,Appoquinimink School District,23,PUBLIC,Waters (Alfred G.) Middle School,05,08,1235 Cedar Lane Road,,Middletown,DE,19709,New Castle,POINT (-75.685415 39.501873)
2015,29,Regular,Appoquinimink School District,24,PUBLIC,Appoquinimink High School,09,12,1080 Bunker Hill Road,,Middletown,DE,19709,New Castle,POINT (-75.738278 39.454537)
2015,29,Regular,Appoquinimink School District,27,PUBLIC,Townsend Early Childhood Center,PK,KG,10 Brook Ramble Lane,,Townsend,DE,19734,New Castle,POINT (-75.685285 39.395649)
2015,29,Regular,Appoquinimink School District,28,PUBLIC,Bunker Hill Elementary School,01,05,1070 Bunker Hill Road,,Middletown,DE,19709,New Castle,POINT (-75.736949 39.453763)
2015,29,Regular,Appoquinimink School District,29,PUBLIC,Spring Meadow Early Childhood Center,PR,KG,611 Campus Drive,,Townsend,DE,19734,New Castle,
2015,29,Regular,Appoquinimink School District,32,PUBLIC,Old State Elementary School,01,05,PO Box 4010,118 South Sixth Street,Odessa,DE,197304010,New Castle,
2015,31,Regular,Brandywine School District,0,Not Applicable,Brandywine School District,PK,12,1311 Brandywine Boulevard,,Wilmington,DE,19809,New Castle,POINT (-75.495076 39.769684)
2015,31,Regular,Brandywine School District,110,PUBLIC,Hanby Elementary School,KG,05,2523 Berwyn Road,,Wilmington,DE,19810,New Castle,POINT (-75.52614 39.81951)
2015,31,Regular,Brandywine School District,112,PUBLIC,Carrcroft Elementary School,KG,05,503 Crest Road,,Wilmington,DE,198034321,New Castle,POINT (-75.501783 39.787397)
2015,31,Regular,Brandywine School District,124,PUBLIC,Forwood Elementary School,KG,05,1900 Westminster Drive,,Wilmington,DE,198103998,New Castle,POINT (-75.503941 39.807899)
2015,31,Regular,Brandywine School District,128,PUBLIC,Lancashire Elementary School,KG,05,2000 Naamans Road,,Wilmington,DE,198102697,New Castle,POINT (-75.49309400000001 39.823606)
2015,31,Regular,Brandywine School District,130,PUBLIC,Lombardy Elementary School,KG,05,412 Foulk Road,,Wilmington,DE,198033880,New Castle,POINT (-75.536688 39.785595)
2015,31,Regular,Brandywine School District,132,PUBLIC,Maple Lane Elementary School,KG,05,100 Maple Lane,,Claymont,DE,197032479,New Castle,POINT (-75.471947 39.793202)
2015,31,Regular,Brandywine School District,150,PUBLIC,Brandywine Community School (BCS) and Twilight Academy Program (TAP),04,06,500 Darley Road,,Claymont,DE,19703,New Castle,POINT (-75.46104 39.811037)
2015,31,Regular,Brandywine School District,151,PUBLIC,Claymont Elementary School,KG,05,3401 Green Street,,Claymont,DE,19703,New Castle,POINT (-75.46449 39.802354)
2015,31,Regular,Brandywine School District,156,PUBLIC,Harlan (David W. ) Elementary School,KG,05,3601 Jefferson Street,,Wilmington,DE,19802,New Castle,POINT (-75.529496 39.762742)
2015,31,Regular,Brandywine School District,170,PUBLIC,duPont (Pierre S.) Middle School,06,08,701 West 34th Street,,Wilmington,DE,198022699,New Castle,POINT (-75.534181 39.763792)
2015,31,Regular,Brandywine School District,176,PUBLIC,Mount Pleasant Elementary School,KG,05,500 Duncan Road,,Wilmington,DE,198092359,New Castle,POINT (-75.496154 39.771327)
2015,31,Regular,Brandywine School District,178,PUBLIC,Springer Middle School,06,08,2220 Shipley Road,,Wilmington,DE,198032398,New Castle,POINT (-75.535119 39.805231)
2015,31,Regular,Brandywine School District,180,PUBLIC,Talley Middle School,06,08,1110 Cypress Road,,Wilmington,DE,198101999,New Castle,POINT (-75.47115 39.822396)
2015,31,Regular,Brandywine School District,190,PUBLIC,Brandywine High School,09,12,1400 Foulk Road,,Wilmington,DE,19803,New Castle,POINT (-75.523005 39.799717)
2015,31,Regular,Brandywine School District,194,PUBLIC,Concord High School,09,12,2501 Ebright Road,,Wilmington,DE,19810,New Castle,POINT (-75.52398 39.82944500000001)
2015,31,Regular,Brandywine School District,196,PUBLIC,Mount Pleasant High School,09,12,5201 Washington Street Extension,,Wilmington,DE,19809,New Castle,POINT (-75.505287 39.771709)
2015,31,Regular,Brandywine School District,510,PUBLIC,Bush (Charles W.) Pre-School,PK,KG,2523 Berwyn Road,,Wilmington,DE,19810,New Castle,POINT (-75.52614 39.81951)
2015,32,Regular,Red Clay Consolidated School District,0,Not Applicable,Red Clay Consolidated School District,PK,12,1502 Spruce Avenue,,Wilmington,DE,19805,New Castle,POINT (-75.60065 39.743656)
2015,32,Regular,Red Clay Consolidated School District,203,PUBLIC,Red Clay Alternative Education,KG,08,801 West 18th Street,,Wilmington,DE,19802,New Castle,POINT (-75.549083 39.758373)
2015,32,Regular,Red Clay Consolidated School District,240,PUBLIC,Forest Oak Elementary School,KG,05,55 South Meadowood Drive,,Newark,DE,197116756,New Castle,POINT (-75.682954 39.706125)
2015,32,Regular,Red Clay Consolidated School District,242,PUBLIC,Heritage Elementary School,KG,05,2815 Highlands Lane,,Wilmington,DE,198083634,New Castle,POINT (-75.684361 39.722279)
2015,32,Regular,Red Clay Consolidated School District,244,PUBLIC,Highlands Elementary School,KG,05,2100 Gilpin Avenue,,Wilmington,DE,198062298,New Castle,POINT (-75.56563 39.762405)
2015,32,Regular,Red Clay Consolidated School District,246,PUBLIC,Lewis (William C.) Dual Language Elementary School,KG,05,920 North Van Buren Street,,Wilmington,DE,198064540,New Castle,POINT (-75.558867 39.749152)
2015,32,Regular,Red Clay Consolidated School District,248,PUBLIC,Shortlidge (Evan G.) Academy,KG,05,100 West 18th Street,,Wilmington,DE,198024836,New Castle,POINT (-75.544526 39.752322)
2015,32,Regular,Red Clay Consolidated School District,250,PUBLIC,Linden Hill Elementary School,KG,05,3415 Skyline Drive,,Wilmington,DE,198081701,New Castle,POINT (-75.694439 39.7341)
2015,32,Regular,Red Clay Consolidated School District,252,PUBLIC,Baltz (Austin D.) Elementary School,PK,05,1500 Spruce Avenue,,Wilmington,DE,198052195,New Castle,POINT (-75.600427 39.743425)
2015,32,Regular,Red Clay Consolidated School District,254,PUBLIC,Richardson Park Elementary School,KG,05,16 Idella Avenue,,Wilmington,DE,19804,New Castle,POINT (-75.591614 39.724089)
2015,32,Regular,Red Clay Consolidated School District,256,PUBLIC,Marbrook Elementary School,KG,05,2101 Centerville Road,,Wilmington,DE,198084799,New Castle,POINT (-75.623531 39.742089)
2015,32,Regular,Red Clay Consolidated School District,260,PUBLIC,Richey Elementary School,KG,05,105 East Highland Avenue,,Wilmington,DE,198042700,New Castle,POINT (-75.607761 39.716895)
2015,32,Regular,Red Clay Consolidated School District,261,PUBLIC,Brandywine Springs School,KG,08,2916 Duncan Road,,Wilmington,DE,19808,New Castle,POINT (-75.65085 39.74442)
2015,32,Regular,Red Clay Consolidated School District,264,PUBLIC,Mote (Anna P.) Elementary School,PK,05,2110 Edwards Avenue,,Wilmington,DE,198083195,New Castle,POINT (-75.636925 39.735944)
2015,32,Regular,Red Clay Consolidated School District,266,PUBLIC,Warner Elementary School,KG,05,801 West 18th Street,,Wilmington,DE,198023890,New Castle,POINT (-75.549083 39.758373)
2015,32,Regular,Red Clay Consolidated School District,270,PUBLIC,North Star Elementary School,KG,05,1340 Little Baltimore Road,,Hockessin,DE,19707,New Castle,POINT (-75.71225 39.767223)
2015,32,Regular,Red Clay Consolidated School District,271,PUBLIC,William F. Cooke Jr. Elementary,KG,05,2025 Graves Road,,Hockessin,DE,19707,New Castle,POINT (-75.670004 39.768157)
2015,32,Regular,Red Clay Consolidated School District,274,PUBLIC,duPont (Alexis I.) Middle School,06,08,3130 Kennett Pike,,Greenville,DE,198073099,New Castle,POINT (-75.584297 39.76672)
2015,32,Regular,Red Clay Consolidated School District,276,PUBLIC,duPont (H.B.) Middle School,06,08,735 Meeting House Road,,Hockessin,DE,197079245,New Castle,POINT (-75.692841 39.799277)
2015,32,Regular,Red Clay Consolidated School District,280,PUBLIC,Skyline Middle School,06,08,2900 Skyline Drive,,Wilmington,DE,198082800,New Castle,POINT (-75.685987 39.725252000000005)
2015,32,Regular,Red Clay Consolidated School District,282,PUBLIC,Stanton Middle School,06,08,1800 Limestone Road,,Wilmington,DE,198044196,New Castle,POINT (-75.65047 39.715084)
2015,32,Regular,Red Clay Consolidated School District,284,PUBLIC,Conrad Schools of Science,06,12,201 Jackson Avenue,,Wilmington,DE,19804,New Castle,POINT (-75.600485 39.722792)
2015,32,Regular,Red Clay Consolidated School District,286,PUBLIC,Calloway (Cab) School of the Arts,06,12,100 N. Dupont Road,,Wilmington,DE,19807,New Castle,POINT (-75.588396 39.752789)
2015,32,Regular,Red Clay Consolidated School District,290,PUBLIC,Dickinson (John) High School,09,12,1801 Milltown Road,,Wilmington,DE,19808,New Castle,POINT (-75.672014 39.725171)
2015,32,Regular,Red Clay Consolidated School District,292,PUBLIC,duPont (Alexis I.) High School,09,12,50 Hillside Road,,Wilmington,DE,19807,New Castle,POINT (-75.602324 39.778602)
2015,32,Regular,Red Clay Consolidated School District,294,PUBLIC,McKean (Thomas) High School,08,12,301 McKennan's Church Road,,Wilmington,DE,19808,New Castle,POINT (-75.661514 39.758636)
2015,32,Regular,Red Clay Consolidated School District,516,PUBLIC,Meadowood Program,PK,12,55A South Meadowood Drive,,Newark,DE,197116756,New Castle,POINT (-75.682954 39.706125)
2015,32,Regular,Red Clay Consolidated School District,526,PUBLIC,Richardson Park Learning Center,PK,05,99 Middleboro Road,,Wilmington,DE,198041600,New Castle,POINT (-75.590201 39.722466)
2015,32,Regular,Red Clay Consolidated School District,527,PUBLIC,Central School (The),PK,12,1621 Telegraph Road,,Wilmington,DE,19804,New Castle,POINT (-75.652951 39.711912)
2015,32,Regular,Red Clay Consolidated School District,530,PUBLIC,First State School,KG,12,501 West 14th Street,,Wilmington,DE,19899,New Castle,POINT (-75.548955 39.750572)
2015,33,Regular,Christina School District,0,Not Applicable,Christina School District,PK,12,Drew Educational Support Build,600 N. Lombard Street,Wilmington,DE,198014499,New Castle,
2015,33,Regular,Christina School District,310,PUBLIC,Brookside Elementary School,PK,05,800 Marrows Road,,Newark,DE,197131511,New Castle,POINT (-75.727332 39.668178)
2015,33,Regular,Christina School District,312,PUBLIC,Marshall (Thurgood) Elementary School,KG,05,101 Barrett Run Road,,Newark,DE,197022949,New Castle,POINT (-75.682479 39.645015)
2015,33,Regular,Christina School District,314,PUBLIC,Jones (Albert H.) Elementary School,KG,05,35 West Main Street,,Newark,DE,197021599,New Castle,POINT (-75.663395 39.666701)
2015,33,Regular,Christina School District,318,PUBLIC,Downes (John R.) Elementary School,PK,05,220 Casho Mill Road,,Newark,DE,197112699,New Castle,POINT (-75.775504 39.683244)
2015,33,Regular,Christina School District,320,PUBLIC,Gallaher (Robert S.) Elementary School,KG,05,800 North Brownleaf Road,,Newark,DE,197133300,New Castle,POINT (-75.67784 39.680425)
2015,33,Regular,Christina School District,321,PUBLIC,Keene (William B.) Elementary School,KG,05,200 LaGrange Avenue,,Newark,DE,19702,New Castle,POINT (-75.7278 39.60283)
2015,33,Regular,Christina School District,322,PUBLIC,Leasure (May B.) Elementary School,PK,05,1015 Church Road,,Newark,DE,19702,New Castle,POINT (-75.681465 39.620397)
2015,33,Regular,Christina School District,324,PUBLIC,Maclary (R. Elisabeth) Elementary School,PK,05,300 St. Regis Drive,,Newark,DE,197113800,New Castle,POINT (-75.736641 39.702455)
2015,33,Regular,Christina School District,326,PUBLIC,McVey (Joseph M.) Elementary School,KG,05,908 Janice Drive,,Newark,DE,197134099,New Castle,POINT (-75.747689 39.655425)
2015,33,Regular,Christina School District,327,PUBLIC,Oberle (William) Elementary School,KG,05,500 South Caledonia Way,,Bear,DE,19701,New Castle,POINT (-75.694936 39.615267)
2015,33,Regular,Christina School District,330,PUBLIC,Smith (Jennie E.) Elementary School,PK,05,142 Brennen Drive,,Newark,DE,197133998,New Castle,POINT (-75.71178 39.672234)
2015,33,Regular,Christina School District,332,PUBLIC,West Park Place Elementary School,KG,05,193 West Park Place,,Newark,DE,197114520,New Castle,POINT (-75.762404 39.674695)
